code,category,date,time_start,time_end,location
1,汽車竊盜,104-01-04,22,24,台北市松山區塔悠路91~120號
2,汽車竊盜,104-01-19,02,04,台北市中山區新生北路2段91~120號
3,汽車竊盜,104-01-20,02,04,台北市文山區老泉里老泉街1~30號
4,汽車竊盜,104-01-20,08,10,台北市文山區木柵里木柵路3段48巷3弄1~30號
5,汽車竊盜,104-01-21,04,06,台北市中山區建國北路2段91~120號
6,汽車竊盜,104-01-21,22,24,台北市萬華區華中河濱公園
7,汽車竊盜,104-01-27,22,24,台北市松山區八德路3段1~30號
8,汽車竊盜,104-01-29,08,10,台北市北投區一德里中央北路4段211~240號
9,汽車竊盜,104-02-01,16,18,台北市松山區濱江街(七號
10,汽車竊盜,104-02-02,06,08,台北市內湖區樂康里康樂街261巷
11,汽車竊盜,104-02-10,06,08,台北市大同區鄰江里酒泉街241~270號
12,汽車竊盜,104-02-11,14,16,台北市士林區福佳里美崙街31~60號
13,汽車竊盜,104-02-11,22,24,台北市南港區新富里研究院路1段101巷(誠正國中旁156號
14,汽車竊盜,104-02-12,04,06,台北市松山區健康路69巷1~30號
15,汽車竊盜,104-02-13,14,16,台北市大安區仁愛里敦化南路1段270巷1~30號
16,汽車竊盜,104-02-18,04,06,台北市松山區光復北路181~210號
17,汽車竊盜,104-02-19,16,18,台北市士林區後港里通河東街2段151~180號
18,汽車竊盜,104-02-23,12,14,台北市士林區後港里承德路5段61~90號
19,汽車竊盜,104-03-02,22,24,台北市萬華區萬青街151~180號
20,汽車竊盜,104-03-17,04,06,台北市文山區興得里興隆路3段(辛亥路口)
21,汽車竊盜,104-03-17,08,10,台北市松山區松河街241~270號
22,汽車竊盜,104-03-18,02,04,台北市內湖區五分里安康路93巷
23,汽車竊盜,104-03-20,16,18,台北市內湖區石潭里潭美街
24,汽車竊盜,104-03-23,02,04,台北市士林區福志里18鄰雨農路21巷1~30號
25,汽車竊盜,104-03-24,18,20,台北市松山區民權東路3段106巷15弄1~30號
26,汽車竊盜,104-03-25,10,12,台北市士林區富光里延平北路5段1巷1~30號
27,汽車竊盜,104-03-25,16,18,台北市中正區三愛里臨沂街61巷14弄
28,汽車竊盜,104-03-30,12,14,台北市南港區中南里忠孝東路7段571~600號
29,汽車竊盜,104-03-31,02,04,台北市南港區玉成里松河街331~360號
30,汽車竊盜,104-03-31,02,04,台北市南港區玉成里松河街331~360號
31,汽車竊盜,104-03-31,02,04,台北市南港區重陽里重陽路187巷
32,汽車竊盜,104-03-31,04,06,台北市南港區玉成里松河街331~360號
33,汽車竊盜,104-04-03,08,10,台北市南港區新光里忠孝東路7段124巷(內靠近衛福部斜坡彎道處)
34,汽車竊盜,104-04-03,22,24,台北市南港區重陽里重陽路125巷(與松河街口)
35,汽車竊盜,104-04-08,06,08,台北市大同區環河北路2段361~390號
36,汽車竊盜,104-04-09,08,10,台北市內湖區內湖里成功路4段181~210號
37,汽車竊盜,104-04-10,08,10,台北市松山區敦化北路155巷100弄
38,汽車竊盜,104-04-11,22,24,台北市信義區雅祥里基隆路1段37巷(口)
39,汽車竊盜,104-04-13,14,16,台北市信義區雅祥里市民大道6段(松隆路123巷口附近)
40,汽車竊盜,104-04-13,22,24,台北市士林區德行里中山北路5段811巷1~30號
41,汽車竊盜,104-04-15,04,06,台北市南港區萬福里忠孝東路6段70巷21弄1~30號
