code,category,date,time_start,time_end,location
1,機車竊盜,107-01-04,00,02,臺北市中山區林森北路133巷72弄內
2,機車竊盜,107-01-04,06,08,臺北市士林區德行東路90巷27弄1~30號
3,機車竊盜,107-01-05,22,24,臺北市大安區仁愛路3段1~30號
4,機車竊盜,107-01-06,00,02,臺北市中正區文北里杭州南路1段61~90號
5,機車竊盜,107-01-07,18,20,臺北市萬華區大理街91~120號
6,機車竊盜,107-01-13,20,22,臺北市文山區景華里羅斯福路6段(景華街口)
7,機車竊盜,107-01-14,22,24,臺北市內湖區安泰街45巷1~30號
8,機車竊盜,107-01-18,16,18,臺北市大同區歸綏街91~120號
9,機車竊盜,107-01-21,06,08,臺北市大同區重慶北路2段31~60號
10,機車竊盜,107-02-01,02,04,臺北市北投區福興里石牌路1段1~30號
11,機車竊盜,107-02-02,10,12,臺北市中山區林森北路271~300號
12,機車竊盜,107-02-06,04,06,臺北市北投區福興里自強街31~60號
13,機車竊盜,107-02-07,14,16,臺北市中正區建國里重慶南路1段126巷(北側路邊停車格)
14,機車竊盜,107-02-08,04,06,臺北市北投區福興里自強街31巷61~90號
15,機車竊盜,107-02-09,18,20,臺北市士林區社子街125巷1~30號
16,機車竊盜,107-02-18,08,10,臺北市萬華區德昌街1~30號
17,機車竊盜,107-02-18,16,18,臺北市中正區永功里中華路2段451~480號
18,機車竊盜,107-02-21,22,24,臺北市大同區平陽街31~60號
19,機車竊盜,107-02-22,06,08,臺北市松山區東興路1~30號
20,機車竊盜,107-02-25,00,02,臺北市內湖區新明路351巷與新明路口
21,機車竊盜,107-03-02,06,08,臺北市大安區學府里基隆路4段73巷
22,機車竊盜,107-03-02,12,14,臺北市文山區明義里020鄰興隆路4段105巷31~60號
23,機車竊盜,107-03-03,14,16,臺北市內湖區康寧路3段54巷1~30號
24,機車竊盜,107-03-06,00,02,臺北市北投區尊賢里實踐街1~30號
25,機車竊盜,107-03-12,12,14,臺北市中正區汀洲路
26,機車竊盜,107-03-16,08,10,臺北市大安區仁愛里復興南路1段177巷
27,機車竊盜,107-03-18,18,20,臺北市大安區通化里通化街61~90號
28,機車竊盜,107-03-19,10,12,臺北市士林區三玉里忠誠路2段10巷1~30號
29,機車竊盜,107-03-19,20,22,臺北市大同區民權西路(與重慶北路口)
30,機車竊盜,107-03-23,18,20,臺北市大同區南京西路181~210號
31,機車竊盜,107-03-25,00,02,臺北市萬華區貴陽街2段91~120號
32,機車竊盜,107-03-25,04,06,臺北市中正區光復里漢口街1段91~120號
33,機車竊盜,107-03-29,10,12,臺北市大安區永康里愛國東路79巷
34,機車竊盜,107-03-31,08,10,臺北市信義區松山路391~420號
35,機車竊盜,107-04-02,18,20,臺北市北投區永欣里石牌路2段181~210號
36,機車竊盜,107-04-06,14,16,臺北市大安區建倫里敦化南路1段211~240號
37,機車竊盜,107-04-10,14,16,臺北市中山區松江路121~150號
38,機車竊盜,107-04-11,12,14,臺北市大同區重慶北路3段296巷(迪化街2段)
39,機車竊盜,107-04-15,04,06,臺北市松山區南京東路5段291巷19弄
40,機車竊盜,107-04-16,16,18,臺北市中山區敬業四路與樂群二路口(報案在破獲之後)
41,機車竊盜,107-04-16,20,22,臺北市內湖區新湖三路與民善街口
42,機車竊盜,107-04-18,04,06,臺北市大同區承德路3段122巷1~30號
43,機車竊盜,107-04-18,06,08,臺北市大同區甘州街與歸綏街口
44,機車竊盜,107-04-18,14,16,臺北市大安區忠孝東路3段217巷1弄1~30號
45,機車竊盜,107-04-20,06,08,臺北市北投區文林里文林北路61~90號
46,機車竊盜,107-04-20,16,18,臺北市文山區萬美里007鄰萬芳路1~30號
47,機車竊盜,107-04-21,10,12,臺北市大安區古莊里羅斯福路與浦城街口
48,機車竊盜,107-04-25,10,12,臺北市中正區文盛里羅斯福路3段211~240號
49,機車竊盜,107-04-28,10,12,臺北市信義區永春里中坡北路37巷1~30號
50,機車竊盜,107-05-01,04,06,臺北市松山區復興北路151~180號
51,機車竊盜,107-05-02,22,24,臺北市南港區忠孝東路6段421~450號
52,機車竊盜,107-05-05,06,08,臺北市中山區民權東路2段92巷口
53,機車竊盜,107-05-07,12,14,臺北市文山區萬盛里羅斯福路5段97巷1~30號
54,機車竊盜,107-05-08,12,14,臺北市大同區迪化街1段271~300號
55,機車竊盜,107-05-10,04,06,臺北市信義區安康里松勇路69巷1~30號
56,機車竊盜,107-05-10,12,14,臺北市松山區南京東路5段(南京三民捷運站旁)
57,機車竊盜,107-05-12,18,20,臺北市內湖區新湖一路36巷1~30號
58,機車竊盜,107-05-13,06,08,臺北市文山區羅斯福路5段121~150號
59,機車竊盜,107-05-14,22,24,臺北市士林區前港街110巷1~30號
60,機車竊盜,107-05-16,00,02,臺北市南港區成福路31~60號
61,機車竊盜,107-05-16,20,22,臺北市中正區北平西路1~30號
62,機車竊盜,107-05-16,22,24,臺北市文山區木柵里022鄰秀明路1段31~60號
63,機車竊盜,107-05-18,02,04,臺北市信義區富陽街72巷
64,機車竊盜,107-05-20,16,18,臺北市松山區八德路4段301~330號
65,機車竊盜,107-05-25,22,24,臺北市萬華區西園路2段372巷31~60號
66,機車竊盜,107-05-26,02,04,臺北市中山區新生北路2段60巷﹑長春路61巷口
67,機車竊盜,107-05-26,20,22,臺北市大同區民權西路160巷30弄
68,機車竊盜,107-05-27,08,10,臺北市文山區景行里車前路1~30號
69,機車竊盜,107-05-27,12,14,臺北市士林區福德路1~30號
70,機車竊盜,107-05-27,16,18,臺北市萬華區萬大路486巷59弄1~30號
71,機車竊盜,107-05-27,22,24,臺北市松山區八德路4段451~480號
72,機車竊盜,107-05-30,16,18,臺北市信義區大道里忠孝東路5段790巷20弄1~30號
73,機車竊盜,107-05-31,04,06,臺北市內湖區成功路4段324巷1弄1~30號
74,機車竊盜,107-06-01,22,24,臺北市南港區玉成里八德路4段768巷1~30號
75,機車竊盜,107-06-05,00,02,臺北市萬華區環河南路2段241~270號
76,機車竊盜,107-06-07,06,08,臺北市中山區建國北路2段258巷1~30號
77,機車竊盜,107-06-12,10,12,臺北市內湖區內湖路1段715巷
78,機車竊盜,107-06-16,02,04,臺北市大同區雙連街1巷1~30號
79,機車竊盜,107-06-16,18,20,臺北市大同區承德路3段129巷1~30號
80,機車竊盜,107-06-17,16,18,臺北市中山區中原街31~60號
81,機車竊盜,107-06-17,18,20,臺北市中山區吉林路236巷1~30號
82,機車竊盜,107-06-24,04,06,臺北市中正區水源里思源街1~30號
83,機車竊盜,107-06-24,08,10,臺北市北投區清江里崇仁路1段61~90號
84,機車竊盜,107-06-25,04,06,臺北市萬華區廣州街181~210號
85,機車竊盜,107-06-28,04,06,臺北市大安區通化里光復南路628巷
86,機車竊盜,107-06-28,22,24,臺北市文山區景仁里羅斯福路6段31~60號
87,機車竊盜,107-07-01,04,06,臺北市大安區仁愛里復興南路1段177巷
88,機車竊盜,107-07-04,00,02,臺北市內湖區康樂街151巷內
89,機車竊盜,107-07-05,04,06,臺北市北投區中庸里大業路691~720號
90,機車竊盜,107-07-05,12,14,臺北市北投區八仙里崇仁路1段(與三合街2段口)
91,機車竊盜,107-07-05,14,16,臺北市大同區民族西路225巷1~30號
92,機車竊盜,107-07-06,00,02,臺北市大安區通化里通化街19巷6弄
93,機車竊盜,107-07-10,04,06,臺北市大同區迪化街2段301~330號
94,機車竊盜,107-07-11,16,18,臺北市內湖區成功路4段324巷口
95,機車竊盜,107-07-12,08,10,臺北市中山區建國北路3段81巷1~30號
96,機車竊盜,107-07-12,08,10,臺北市中山區建國北路3段81巷1~30號
97,機車竊盜,107-07-13,08,10,臺北市中山區建國北路3段81巷1~30號
98,機車竊盜,107-07-14,18,20,臺北市中山區林森北路421~450號
99,機車竊盜,107-07-15,14,16,臺北市內湖區港墘里港墘路31~60號
100,機車竊盜,107-07-16,08,10,臺北市大同區迪化街2段301~330號
101,機車竊盜,107-07-20,06,08,臺北市中山區合江街36巷31~60號
102,機車竊盜,107-07-21,00,02,臺北市大安區敦安里安和路1段112巷1~30號
103,機車竊盜,107-07-23,22,24,臺北市大安區通化里通化街39巷49弄1~30號
104,機車竊盜,107-07-24,06,08,臺北市萬華區環河南路2段241~270號
105,機車竊盜,107-07-26,00,02,臺北市萬華區中華路2段364巷22弄(口處)
106,機車竊盜,107-07-26,14,16,臺北市信義區吳興街
107,機車竊盜,107-07-27,10,12,臺北市文山區順興里007鄰木新路2段241~270號
108,機車竊盜,107-07-27,16,18,臺北市萬華區西園路2段271~300號
109,機車竊盜,107-07-28,02,04,臺北市南港區新富里研究院路1段2巷1~30號
110,機車竊盜,107-07-28,06,08,臺北市文山區樟新里011鄰木新路3段301~330號
111,機車竊盜,107-07-28,10,12,臺北市中正區文盛里羅斯福路4段12巷(內)
112,機車竊盜,107-07-29,04,06,臺北市大安區延吉街131巷1弄31~60號
113,機車竊盜,107-08-01,14,16,臺北市大同區承德路1段1~30號
114,機車竊盜,107-08-02,06,08,臺北市士林區蘭雅里中山北路6段290巷7弄
115,機車竊盜,107-08-02,18,20,臺北市信義區四維里虎林街70巷31~60號
116,機車竊盜,107-08-03,22,24,臺北市中山區松江路431巷1~30號
117,機車竊盜,107-08-04,02,04,臺北市萬華區環河南路2段125巷1~30號
118,機車竊盜,107-08-07,14,16,臺北市信義區富台里忠孝東路5段1~30號
119,機車竊盜,107-08-08,16,18,臺北市大同區西寧北路61~90號
120,機車竊盜,107-08-09,02,04,臺北市松山區八德路3段158巷20弄1~30號
121,機車竊盜,107-08-09,14,16,臺北市萬華區富民路145巷15弄1~30號
122,機車竊盜,107-08-09,18,20,臺北市士林區富光里葫蘆街61~90號
123,機車竊盜,107-08-10,16,18,臺北市大安區錦華里潮州街26巷1~30號
124,機車竊盜,107-08-10,22,24,臺北市大安區法治里通化街171巷30弄1~30號
125,機車竊盜,107-08-11,18,20,臺北市大同區長安西路172巷
126,機車竊盜,107-08-12,06,08,臺北市信義區虎林街101巷1~30號
127,機車竊盜,107-08-13,00,02,臺北市中正區忠勤里中華路2段315巷1~30號
128,機車竊盜,107-08-16,04,06,臺北市萬華區雙園街61~90號
