code,category,date,time_start,time_end,location
1,自行車竊盜,2015-01-01,16,18,臺北市大安區住安里四維路124巷1~30號
2,自行車竊盜,2015-01-04,08,10,臺北市大安區敦煌里仁愛路4段266巷1~30號
3,自行車竊盜,2015-01-06,14,16,臺北市萬華區國興路1~30號
4,自行車竊盜,2015-01-08,08,10,臺北市北投區清江里三合街2段481~510號
5,自行車竊盜,2015-01-08,16,18,臺北市松山區延壽街391~420號
6,自行車竊盜,2015-01-09,06,08,臺北市南港區三重里南港路1段(南港展覽館5號
7,自行車竊盜,2015-01-09,14,16,臺北市北投區大同里光明路1~30號
8,自行車竊盜,2015-01-09,14,16,臺北市內湖區金湖里康寧路3段31~60號
9,自行車竊盜,2015-01-10,04,06,臺北市內湖區康寧路3段31~60號
10,自行車竊盜,2015-01-10,12,14,臺北市松山區三民路121~150號
11,自行車竊盜,2015-01-10,16,18,臺北市萬華區西昌街29巷1~30號
12,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號
13,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號
14,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號
15,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號
16,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號
17,自行車竊盜,2015-01-11,08,10,臺北市萬華區萬大路387巷1~30號
18,自行車竊盜,2015-01-11,14,16,臺北市北投區大同里光明路1~30號
19,自行車竊盜,2015-01-13,10,12,臺北市中正區忠孝東路1段31~60號
20,自行車竊盜,2015-01-15,06,08,臺北市信義區中行里福德街221巷4弄1~30號
21,自行車竊盜,2015-01-16,06,08,臺北市松山區撫遠街361~390號
22,自行車竊盜,2015-01-17,16,18,臺北市大安區仁慈里仁愛路4段1~30號
23,自行車竊盜,2015-01-18,08,10,臺北市萬華區西園路2段91~120號
24,自行車竊盜,2015-01-19,08,10,臺北市信義區大道里忠孝東路5段781~810號
25,自行車竊盜,2015-01-20,10,12,臺北市信義區西村里松壽路1~30號
26,自行車竊盜,2015-01-21,10,12,臺北市內湖區南湖里東湖捷運站
