code,category,date,time_start,time_end,location,lat,lng
1,自行車竊盜,2015-01-01,16,18,臺北市大安區住安里四維路124巷1~30號,25.0318503,121.5478463
2,自行車竊盜,2015-01-04,08,10,臺北市大安區敦煌里仁愛路4段266巷1~30號,25.0369621,121.5528374
3,自行車竊盜,2015-01-06,14,16,臺北市萬華區國興路1~30號,25.0236613,121.5086567
4,自行車竊盜,2015-01-08,08,10,臺北市北投區清江里三合街2段481~510號,25.1262794,121.5013501
5,自行車竊盜,2015-01-08,16,18,臺北市松山區延壽街391~420號,25.0565036,121.5575543
6,自行車竊盜,2015-01-09,06,08,臺北市南港區三重里南港路1段(南港展覽館5號,25.0566019,121.6181159
7,自行車竊盜,2015-01-09,14,16,臺北市北投區大同里光明路1~30號,25.131841,121.498633
8,自行車竊盜,2015-01-09,14,16,臺北市內湖區金湖里康寧路3段31~60號,25.0727962,121.6075258
9,自行車竊盜,2015-01-10,04,06,臺北市內湖區康寧路3段31~60號,25.0727962,121.6075258
10,自行車竊盜,2015-01-10,12,14,臺北市松山區三民路121~150號,25.058182,121.5633224
11,自行車竊盜,2015-01-10,16,18,臺北市萬華區西昌街29巷1~30號,25.0427626,121.5008272
12,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號,25.0550865,121.6029915
13,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號,25.0550865,121.6029915
14,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號,25.0550865,121.6029915
15,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號,25.0550865,121.6029915
16,自行車竊盜,2015-01-11,06,08,臺北市南港區東明里東明街61~90號,25.0550865,121.6029915
17,自行車竊盜,2015-01-11,08,10,臺北市萬華區萬大路387巷1~30號,25.0223743,121.4996
18,自行車竊盜,2015-01-11,14,16,臺北市北投區大同里光明路1~30號,25.131841,121.498633
19,自行車竊盜,2015-01-13,10,12,臺北市中正區忠孝東路1段31~60號,25.0439108,121.5343687
20,自行車竊盜,2015-01-15,06,08,臺北市信義區中行里福德街221巷4弄1~30號,25.0322069,121.5884161
21,自行車竊盜,2015-01-16,06,08,臺北市松山區撫遠街361~390號,25.0627044,121.5661473
