code,category,date,time_start,time_end,location,lat,lng
1,汽車竊盜,2015-01-04,22,24,台北市松山區塔悠路91~120號,25.0522515,121.5704631
2,汽車竊盜,2015-01-19,02,04,台北市中山區新生北路2段91~120號,25.0573288,121.5278946
3,汽車竊盜,2015-01-20,02,04,台北市文山區老泉里老泉街1~30號,24.966229,121.566256
4,汽車竊盜,2015-01-20,08,10,台北市文山區木柵里木柵路3段48巷3弄1~30號,24.9879705,121.5653413
5,汽車竊盜,2015-01-21,04,06,台北市中山區建國北路2段91~120號,25.0587151,121.5373897
6,汽車竊盜,2015-01-21,22,24,台北市萬華區華中河濱公園,25.0154026,121.4947657
7,汽車竊盜,2015-01-27,22,24,台北市松山區八德路3段1~30號,25.0484306,121.5576098
8,汽車竊盜,2015-01-29,08,10,台北市北投區一德里中央北路4段211~240號,25.13015,121.471609
9,汽車竊盜,2015-02-01,16,18,台北市松山區濱江街(七號,25.0733942,121.5525104
10,汽車竊盜,2015-02-02,06,08,台北市內湖區樂康里康樂街261巷,25.0854454,121.6239516
11,汽車竊盜,2015-02-10,06,08,台北市大同區鄰江里酒泉街241~270號,25.0721495,121.5096567
12,汽車竊盜,2015-02-11,14,16,台北市士林區福佳里美崙街31~60號,25.0968142,121.5211641
13,汽車竊盜,2015-02-11,22,24,台北市南港區新富里研究院路1段101巷(誠正國中旁156號,25.0536955,121.6188493
14,汽車竊盜,2015-02-12,04,06,台北市松山區健康路69巷1~30號,25.0542674,121.5572046
15,汽車竊盜,2015-02-13,14,16,台北市大安區仁愛里敦化南路1段270巷1~30號,25.0387774,121.547735
16,汽車竊盜,2015-02-18,04,06,台北市松山區光復北路181~210號,25.0585926,121.555337
17,汽車竊盜,2015-02-19,16,18,台北市士林區後港里通河東街2段151~180號,25.0959435,121.5118757
18,汽車竊盜,2015-02-23,12,14,台北市士林區後港里承德路5段61~90號,25.0958334,121.5138829
19,汽車竊盜,2015-03-02,22,24,台北市萬華區萬青街151~180號,25.0231193,121.5016919
20,汽車竊盜,2015-03-17,04,06,台北市文山區興得里興隆路3段(辛亥路口),25.001855,121.555038
21,汽車竊盜,2015-03-17,08,10,台北市松山區松河街241~270號,25.0518486,121.5786431
22,汽車竊盜,2015-03-18,02,04,台北市內湖區五分里安康路93巷,25.0627317,121.5973143
23,汽車竊盜,2015-03-20,16,18,台北市內湖區石潭里潭美街,25.0598346,121.5914414
24,汽車竊盜,2015-03-23,02,04,台北市士林區福志里18鄰雨農路21巷1~30號,25.09812,121.53133
25,汽車竊盜,2015-03-24,18,20,台北市松山區民權東路3段106巷15弄1~30號,25.059801,121.5451184
26,汽車竊盜,2015-03-25,10,12,台北市士林區富光里延平北路5段1巷1~30號,25.0789075,121.5109155
27,汽車竊盜,2015-03-25,16,18,台北市中正區三愛里臨沂街61巷14弄,25.0365816,121.5296672
28,汽車竊盜,2015-03-30,12,14,台北市南港區中南里忠孝東路7段571~600號,25.0531174,121.6141292
29,汽車竊盜,2015-03-31,02,04,台北市南港區玉成里松河街331~360號,25.0532864,121.5845819
30,汽車竊盜,2015-03-31,02,04,台北市南港區玉成里松河街331~360號,25.0532864,121.5845819
31,汽車竊盜,2015-03-31,02,04,台北市南港區重陽里重陽路187巷,25.0571905,121.5987317
32,汽車竊盜,2015-03-31,04,06,台北市南港區玉成里松河街331~360號,25.0532864,121.5845819
33,汽車竊盜,2015-04-03,08,10,台北市南港區新光里忠孝東路7段124巷(內靠近衛福部斜坡彎道處),25.0496441,121.5953716
34,汽車竊盜,2015-04-03,22,24,台北市南港區重陽里重陽路125巷(與松河街口),25.0584507,121.5973095
