code,category,date,time_start,time_end,location,lat,lng
1,住宅竊盜,2015-01-01,00,02,臺北市文山區萬美里萬寧街1~30號,25.0033593,121.5638885
2,住宅竊盜,2015-01-01,00,02,臺北市信義區富台里忠孝東路5段295巷6弄1~30號,25.0418613,121.5728953
3,住宅竊盜,2015-01-01,06,08,臺北市中山區新生北路1段91~120號,25.0463313,121.5323976
4,住宅竊盜,2015-01-01,10,12,臺北市文山區明興里興隆路4段1~30號,24.991519,121.560748
5,住宅竊盜,2015-01-02,00,02,臺北市士林區天福里1鄰忠誠路2段130巷1~30號,25.114258,121.5320989
6,住宅竊盜,2015-01-02,06,08,臺北市萬華區糖?里大理街159巷1~30號,25.0341082,121.4960347
7,住宅竊盜,2015-01-02,06,08,臺北市萬華區糖?里大理街159巷1~30號,25.0341082,121.4960347
8,住宅竊盜,2015-01-02,10,12,臺北市中山區吉林路121~150號,25.0569417,121.5303194
9,住宅竊盜,2015-01-04,10,12,臺北市信義區五常里永吉路225巷32弄1~30號,25.0469618,121.5742464
10,住宅竊盜,2015-01-04,12,14,臺北市士林區明勝里通河街31~60號,25.0800899,121.5230334
11,住宅竊盜,2015-01-05,00,02,臺北市中山區南京東路3段181~210號,25.0519659,121.5420283
12,住宅竊盜,2015-01-05,04,06,臺北市萬華區大理街159巷1~30號,25.0341082,121.4960347
13,住宅竊盜,2015-01-05,04,06,臺北市萬華區糖?里大理街159巷1~30號,25.0341082,121.4960347
14,住宅竊盜,2015-01-05,12,14,臺北市北投區吉慶里實踐街56巷1~30號,25.1149989,121.5096215
15,住宅竊盜,2015-01-05,16,18,臺北市中正區忠勤里中華路2段311巷1~30號,25.0291603,121.5059145
16,住宅竊盜,2015-01-05,18,20,臺北市文山區興福里12鄰景華街61~90號,24.9948622,121.5417934
17,住宅竊盜,2015-01-06,04,06,臺北市信義區雅祥里基隆路1段1~30號,25.04633,121.56904
18,住宅竊盜,2015-01-06,16,18,臺北市中正區水源里汀州路3段91~120號,25.017517,121.52894
19,住宅竊盜,2015-01-07,16,18,臺北市文山區萬芳里萬芳路31~60號,24.999032,121.564454
20,住宅竊盜,2015-01-08,08,10,臺北市文山區萬美里萬美街1段61~90號,25.0031032,121.5622139
