code,category,date,time_start,time_end,location,lat,lng
1,機車竊盜,2018-01-04,00,02,臺北市中山區林森北路133巷72弄內,25.0508738,121.5274436
2,機車竊盜,2018-01-04,06,08,臺北市士林區德行東路90巷27弄1~30號,25.1064225,121.5281452
3,機車竊盜,2018-01-05,22,24,臺北市大安區仁愛路3段1~30號,25.0385361,121.5332043
4,機車竊盜,2018-01-06,00,02,臺北市中正區文北里杭州南路1段61~90號,25.0404631,121.525963
5,機車竊盜,2018-01-07,18,20,臺北市萬華區大理街91~120號,25.0343493,121.4985342
6,機車竊盜,2018-01-13,20,22,臺北市文山區景華里羅斯福路6段(景華街口),24.9949058,121.5411222
7,機車竊盜,2018-01-14,22,24,臺北市內湖區安泰街45巷1~30號,25.0738093,121.6180355
8,機車竊盜,2018-01-18,16,18,臺北市大同區歸綏街91~120號,25.0588322,121.5164064
9,機車竊盜,2018-01-21,06,08,臺北市大同區重慶北路2段31~60號,25.0549798,121.5144099
10,機車竊盜,2018-02-01,02,04,臺北市北投區福興里石牌路1段1~30號,25.1126143,121.5095241
11,機車竊盜,2018-02-02,10,12,臺北市中山區林森北路271~300號,25.0551668,121.5256069
12,機車竊盜,2018-02-06,04,06,臺北市北投區福興里自強街31~60號,25.1103368,121.5128452
13,機車竊盜,2018-02-07,14,16,臺北市中正區建國里重慶南路1段126巷(北側路邊停車格),25.0372402,121.5124533
14,機車竊盜,2018-02-08,04,06,臺北市北投區福興里自強街31巷61~90號,25.1124156,121.5149198
15,機車竊盜,2018-02-09,18,20,臺北市士林區社子街125巷1~30號,25.088673,121.5052226
16,機車竊盜,2018-02-18,08,10,臺北市萬華區德昌街1~30號,25.0252995,121.500123
17,機車竊盜,2018-02-18,16,18,臺北市中正區永功里中華路2段451~480號,25.029695,121.504177
18,機車竊盜,2018-02-21,22,24,臺北市大同區平陽街31~60號,25.0552303,121.5169189
19,機車竊盜,2018-02-22,06,08,臺北市松山區東興路1~30號,,
20,機車竊盜,2018-02-25,00,02,臺北市內湖區新明路351巷與新明路口,25.0559638,121.5827984
